beat,year,stops
1131,2016,864
1131,2017,1674
1131,2018,2002
1131,2019,1968
1131,2020,2082
1131,2021,2566
1132,2015,403
1132,2016,1332
1132,2017,1779
1132,2018,2650
1132,2019,3701
1132,2020,3233
1132,2021,3610
1133,2015,953
1133,2016,1898
1133,2017,2365
1133,2018,3224
1133,2019,3380
1133,2020,4590
1133,2021,6186
1134,2015,866
1134,2016,1288
1134,2017,1480
1134,2018,2262
1134,2019,1793
1134,2020,2215
1134,2021,3710
1135,2015,600
1135,2016,628
1135,2017,864
1135,2018,1287
1135,2019,1069
1135,2020,1063
1135,2021,2272
1211,2015,113
1211,2016,338
1211,2017,580
1211,2018,1396
1211,2019,1316
1211,2020,530
1211,2021,591
1212,2015,103
1212,2016,299
1212,2017,657
1212,2018,1738
1212,2019,1267
1212,2020,457
1212,2021,478
1213,2015,174
1213,2016,335
1213,2017,588
1213,2018,1321
1213,2019,1223
1213,2020,400
1213,2021,418
1214,2015,148
1214,2016,304
1214,2017,602
1214,2018,921
1214,2019,1513
1214,2020,514
1214,2021,869
1215,2015,161
1215,2016,362
1215,2017,862
1215,2018,1768
1215,2019,1772
1215,2020,672
1215,2021,487
1221,2015,370
1221,2016,497
1221,2017,753
1221,2018,2385
1221,2019,2098
1221,2020,954
1221,2021,764
1222,2015,249
1222,2016,485
1222,2017,693
1222,2018,2631
1222,2019,2802
1222,2020,1411
1222,2021,1323
1223,2015,129
1223,2016,385
1223,2017,827
1223,2018,2468
1223,2019,2631
1223,2020,1240
1223,2021,1256
1224,2015,206
1224,2016,365
1224,2017,721
1224,2018,2138
1224,2019,2774
1224,2020,1023
1224,2021,1273
1225,2015,117
1225,2016,223
1225,2017,484
1225,2018,1192
1225,2019,1271
1225,2020,704
1225,2021,835
1231,2015,264
1231,2016,514
1231,2017,926
1231,2018,2052
1231,2019,1898
1231,2020,922
1231,2021,1104
1232,2015,234
1232,2016,414
1232,2017,997
1232,2018,2379
1232,2019,2148
1232,2020,1161
1232,2021,1268
1233,2015,236
1233,2016,487
1233,2017,1028
1233,2018,2851
1233,2019,3618
1233,2020,1362
1233,2021,1623
1234,2015,347
1234,2016,751
1234,2017,1643
1234,2018,4714
1234,2019,4158
1234,2020,2511
1234,2021,3261
1235,2015,235
1235,2016,452
1235,2017,676
1235,2018,2337
1235,2019,2131
1235,2020,927
1235,2021,1219
1411,2015,91
1411,2016,197
1411,2017,282
1411,2018,481
1411,2019,786
1411,2020,448
1411,2021,309
1412,2015,77
1412,2016,135
1412,2017,289
1412,2018,509
1412,2019,1407
1412,2020,516
1412,2021,231
1413,2015,68
1413,2016,200
1413,2017,293
1413,2018,581
1413,2019,944
1413,2020,578
1413,2021,671
1414,2015,42
1414,2016,225
1414,2017,323
1414,2018,571
1414,2019,1231
1414,2020,507
1414,2021,493
1421,2015,79
1421,2016,387
1421,2017,543
1421,2018,890
1421,2019,1776
1421,2020,865
1421,2021,925
1422,2015,236
1422,2016,532
1422,2017,572
1422,2018,1156
1422,2019,1922
1422,2020,1316
1422,2021,1421
1423,2015,82
1423,2016,640
1423,2017,979
1423,2018,1997
1423,2019,2605
1423,2020,1351
1423,2021,1677
1424,2015,157
1424,2016,378
1424,2017,904
1424,2018,1853
1424,2019,2129
1424,2020,863
1424,2021,1237
1431,2015,58
1431,2016,195
1431,2017,330
1431,2018,601
1431,2019,958
1431,2020,439
1431,2021,343
1432,2015,48
1432,2016,147
1432,2017,260
1432,2018,627
1432,2019,797
1432,2020,306
1432,2021,318
1433,2015,88
1433,2016,165
1433,2017,376
1433,2018,667
1433,2019,828
1433,2020,421
1433,2021,637
1434,2015,122
1434,2016,407
1434,2017,819
1434,2018,1427
1434,2019,1935
1434,2020,858
1434,2021,970
1511,2015,174
1511,2016,351
1511,2017,904
1511,2018,2120
1511,2019,2590
1511,2020,1452
1511,2021,1319
1512,2015,167
1512,2016,319
1512,2017,638
1512,2018,1538
1512,2019,1981
1512,2020,1442
1512,2021,1046
1513,2015,273
1513,2016,515
1513,2017,1170
1513,2018,2503
1513,2019,2896
1513,2020,1723
1513,2021,1561
1522,2015,551
1522,2016,1984
1522,2017,2625
1522,2018,5496
1522,2019,6907
1522,2020,4148
1522,2021,3531
1523,2015,688
1523,2016,631
1523,2017,1024
1523,2018,2753
1523,2019,2855
1523,2020,2075
1523,2021,2112
1524,2015,529
1524,2016,1014
1524,2017,1659
1524,2018,3803
1524,2019,3915
1524,2020,2446
1524,2021,2201
1531,2015,383
1531,2016,897
1531,2017,1379
1531,2018,3845
1531,2019,4565
1531,2020,2307
1531,2021,3016
1532,2015,1053
1532,2016,955
1532,2017,1732
1532,2018,3115
1532,2019,4041
1532,2020,2598
1532,2021,2876
1533,2015,770
1533,2016,2351
1533,2017,3600
1533,2018,6586
1533,2019,7713
1533,2020,5875
1533,2021,5193
1611,2015,106
1611,2016,173
1611,2017,356
1611,2018,458
1611,2019,614
1611,2020,257
1611,2021,336
1612,2015,89
1612,2016,109
1612,2017,223
1612,2018,484
1612,2019,456
1612,2020,154
1612,2021,312
1613,2015,281
1613,2016,346
1613,2017,534
1613,2018,468
1613,2019,556
1613,2020,185
1613,2021,230
1614,2015,98
1614,2016,159
1614,2017,283
1614,2018,401
1614,2019,385
1614,2020,130
1614,2021,165
1621,2015,81
1621,2016,153
1621,2017,273
1621,2018,564
1621,2019,424
1621,2020,201
1621,2021,412
1622,2015,426
1622,2016,445
1622,2017,883
1622,2018,1216
1622,2019,1290
